Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BK 14,Flatbush/Midwood,Community District,"$1,310","$1,330","$1,340","$1,340","$1,400","$1,430","$1,430","$1,440","$1,510","$1,560","$1,550","$1,610","$1,570","$1,660","$1,620","$1,640"
BK 15,Sheepshead Bay,Community District,"$1,240","$1,300","$1,260","$1,340","$1,350","$1,350","$1,430","$1,410","$1,490","$1,550","$1,530","$1,600","$1,600","$1,610","$1,590","$1,620"
BK 16,Brownsville,Community District,$870,$900,$970,"$1,040","$1,080","$1,040","$1,150","$1,050","$1,130","$1,020","$1,140","$1,020","$1,100","$1,240","$1,230","$1,100"
BK 17,East Flatbush,Community District,"$1,290","$1,300","$1,360","$1,350","$1,390","$1,340","$1,360","$1,440","$1,410","$1,450","$1,550","$1,480","$1,510","$1,590","$1,560","$1,590"
BK 18,Flatlands/Canarsie,Community District,"$1,390","$1,460","$1,430","$1,470","$1,460","$1,470","$1,480","$1,550","$1,510","$1,570","$1,600","$1,620","$1,650","$1,620","$1,620","$1,770"
MN 01,Financial District,Community District,"$2,470","$2,540","$2,560","$2,700","$2,810","$2,770","$2,840","$2,910","$3,040","$3,160","$2,980","$2,960","$2,990","$3,110","$3,070","$3,320"
MN 02,Greenwich Village/Soho,Community District,"$2,470","$2,540","$2,560","$2,700","$2,810","$2,770","$2,840","$2,910","$3,040","$3,160","$2,980","$2,960","$2,990","$3,110","$3,070","$3,320"
MN 03,Lower East Side/Chinatown,Community District,"$1,090","$1,010",$990,"$1,140","$1,190","$1,100","$1,300","$1,150","$1,210","$1,280","$1,240","$1,290","$1,290","$1,170","$1,180","$1,250"
MN 04,Clinton/Chelsea,Community District,"$2,020","$1,940","$1,980","$2,210","$2,090","$2,270","$2,460","$2,690","$2,650","$2,610","$2,630","$2,440","$2,370","$2,230","$2,250","$2,550"
MN 05,Midtown,Community District,"$2,020","$1,940","$1,980","$2,210","$2,090","$2,270","$2,460","$2,690","$2,650","$2,610","$2,630","$2,440","$2,370","$2,230","$2,250","$2,550"
MN 06,Stuyvesant Town/Turtle Bay,Community District,"$2,200","$2,400","$2,380","$2,490","$2,450","$2,450","$2,530","$2,780","$2,560","$2,910","$2,980","$2,820","$2,770","$3,100","$3,010","$2,550"
MN 07,Upper West Side,Community District,"$1,880","$2,030","$1,970","$2,240","$1,960","$2,270","$2,050","$2,140","$2,110","$2,140","$2,540","$2,210","$2,530","$2,210","$2,210","$2,390"
MN 08,Upper East Side,Community District,"$2,230","$2,340","$2,360","$2,320","$2,290","$2,310","$2,400","$2,370","$2,500","$2,480","$2,650","$2,700","$2,610","$2,630","$2,620","$2,640"
MN 09,Morningside Heights/Hamilton,Community District,"$1,120","$1,270","$1,330","$1,360","$1,280","$1,350","$1,380","$1,440","$1,450","$1,570","$1,460","$1,450","$1,720","$1,680","$1,600","$1,540"
MN 10,Central Harlem,Community District,$910,$980,$970,$970,"$1,020","$1,070","$1,080","$1,090","$1,160","$1,230","$1,170","$1,210","$1,290","$1,380","$1,440","$1,300"
MN 11,East Harlem,Community District,$790,$820,$840,$930,"$1,030","$1,010","$1,140","$1,050","$1,030",$930,"$1,030","$1,030","$1,160","$1,000",$930,"$1,220"
MN 12,Washington Heights/Inwood,Community District,"$1,170","$1,210","$1,240","$1,290","$1,340","$1,370","$1,310","$1,360","$1,460","$1,480","$1,540","$1,470","$1,570","$1,470","$1,480","$1,490"
QN 01,Astoria,Community District,"$1,440","$1,450","$1,490","$1,560","$1,640","$1,620","$1,680","$1,660","$1,760","$1,810","$1,800","$1,890","$1,920","$1,980","$1,950","$1,900"
QN 02,Woodside/Sunnyside,Community District,"$1,500","$1,580","$1,510","$1,610","$1,660","$1,680","$1,720","$1,720","$1,850","$1,890","$1,850","$1,860","$1,960","$2,030","$2,040","$1,950"
QN 03,Jackson Heights,Community District,"$1,540","$1,590","$1,510","$1,560","$1,560","$1,580","$1,620","$1,640","$1,650","$1,670","$1,730","$1,740","$1,820","$1,840","$1,800","$1,780"
QN 04,Elmhurst/Corona,Community District,"$1,520","$1,530","$1,520","$1,610","$1,600","$1,610","$1,610","$1,630","$1,660","$1,700","$1,640","$1,690","$1,800","$1,820","$1,750","$1,800"
QN 05,Ridgewood/Maspeth,Community District,"$1,480","$1,500","$1,480","$1,540","$1,600","$1,530","$1,520","$1,520","$1,580","$1,690","$1,750","$1,690","$1,790","$1,860","$1,840","$1,860"
QN 06,Rego Park/Forest Hills,Community District,"$1,570","$1,650","$1,630","$1,650","$1,690","$1,750","$1,690","$1,750","$1,770","$1,840","$1,850","$1,900","$2,000","$1,980","$2,000","$1,940"
