EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
693221,Shooting Permit,01/31/2023 07:00:00 AM,01/31/2023 07:00:00 PM,01/27/2023 08:59:55 AM,"Mayor's Office of Film, Theatre & Broadcasting","READE STREET between CHURCH STREET and BROADWAY,  BROADWAY between READE STREET and CHAMBERS STREET,  BROADWAY between CHAMBERS STREET and WARREN STREET,  BROADWAY between WARREN STREET and MURRAY STREET,  CHAMBERS STREET between BROADWAY and ELK STREET,  WORTH STREET between HUDSON STREET and BROADWAY,  MERCER STREET between BROOME STREET and SPRING STREET,  SPRING STREET between GREENE STREET and BROADWAY,  GREENE STREET between BROOME STREET and SPRING STREET,  BROOME STREET between MERCER STREET and WEST BROADWAY",Manhattan,"1, 2","1, 5",Television,Cable-episodic,United States of America,"10007, 10012, 10013"
693205,Shooting Permit,01/31/2023 04:00:00 AM,01/31/2023 11:00:00 PM,01/27/2023 04:08:24 AM,"Mayor's Office of Film, Theatre & Broadcasting","1 AVENUE between EAST   19 STREET and EAST   18 STREET,  1 AVENUE between EAST   17 STREET and EAST   15 STREET,  EAST   18 STREET between 1 AVENUE and 2 AVENUE,  EAST   17 STREET between 2 AVENUE and 1 AVENUE,  1 AVENUE between EAST   18 STREET and EAST   17 STREET,  2 AVENUE between EAST   17 STREET and EAST   15 STREET,  N Henry Street between Greenpoint Avenue and Calyer Street,  RUSSELL STREET between CALYER STREET and GREENPOINT AVENUE,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE",Manhattan,"1, 6","13, 94",Television,Episodic series,United States of America,"10003, 10009, 11222"
693170,Theater Load in and Load Outs,02/15/2023 12:01:00 AM,02/15/2023 11:59:00 PM,01/26/2023 06:51:00 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   51 STREET between 5 AVENUE and 6 AVENUE,  WEST   50 STREET between 5 AVENUE and 6 AVENUE,  WEST   51 STREET between 7 AVENUE and 8 AVENUE",Manhattan,5,18,Theater,Theater,United States of America,"10019, 10020, 10112"
693152,Shooting Permit,01/27/2023 07:00:00 AM,01/27/2023 08:00:00 PM,01/26/2023 05:01:22 PM,"Mayor's Office of Film, Theatre & Broadcasting",HUMBOLDT STREET between CALYER STREET and MESEROLE AVENUE,Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
693151,Shooting Permit,01/31/2023 07:00:00 AM,01/31/2023 07:00:00 PM,01/26/2023 04:50:11 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   10 STREET between SURF AVENUE and BOARDWALK WEST,  SURF AVENUE between WEST   12 STREET and WEST   10 STREET,  SURF AVENUE between WEST    5 STREET and WEST   10 STREET,  SURF AVENUE between WEST   12 STREET and WEST   16 STREET,  WEST   15 STREET between SURF AVENUE and BOARDWALK WEST,  STILLWELL AVENUE between SURF AVENUE and BOARDWALK WEST,  WEST   12 STREET between BOWERY and DEAD END",Brooklyn,13,60,Television,Cable-episodic,United States of America,"11224, 11235"
693134,Theater Load in and Load Outs,01/30/2023 07:00:00 AM,01/31/2023 01:00:00 PM,01/26/2023 03:43:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","DEAN STREET between FLATBUSH AVENUE and 6 AVENUE,  ATLANTIC AVENUE between FORT GREENE PLACE and 6 AVENUE",Brooklyn,"2, 6",78,Theater,Theater,United States of America,11217
693123,Shooting Permit,01/30/2023 06:00:00 AM,01/30/2023 11:00:00 PM,01/26/2023 03:03:18 PM,"Mayor's Office of Film, Theatre & Broadcasting",GRAND STREET between VANDERVOORT AVENUE and MORGAN AVENUE,Brooklyn,1,90,Commercial,Promo,United States of America,11211
693122,Shooting Permit,02/04/2023 06:00:00 AM,02/04/2023 11:59:00 PM,01/26/2023 03:01:13 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST  106 STREET and EAST  107 STREET,  EAST  106 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,11,23,Television,Variety,United States of America,10029
693119,Shooting Permit,02/03/2023 06:00:00 AM,02/03/2023 11:59:00 PM,01/26/2023 02:47:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST  106 STREET and EAST  107 STREET,  EAST  106 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,11,23,Television,Variety,United States of America,10029
693115,Shooting Permit,01/29/2023 06:00:00 AM,01/29/2023 11:59:00 PM,01/26/2023 02:44:32 PM,"Mayor's Office of Film, Theatre & Broadcasting",GRAND STREET between VANDERVOORT AVENUE and MORGAN AVENUE,Brooklyn,1,90,Commercial,Promo,United States of America,11211
693114,Shooting Permit,02/02/2023 06:00:00 AM,02/02/2023 11:59:00 PM,01/26/2023 02:42:26 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST  106 STREET and EAST  107 STREET,  EAST  106 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,11,23,Television,Variety,United States of America,10029
693110,Shooting Permit,02/01/2023 06:00:00 AM,02/01/2023 11:59:00 PM,01/26/2023 02:36:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST  106 STREET and EAST  107 STREET,  EAST  106 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,11,23,Television,Variety,United States of America,10029
693105,Shooting Permit,01/31/2023 06:00:00 AM,01/31/2023 11:59:00 PM,01/26/2023 02:23:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST  106 STREET and EAST  107 STREET,  EAST  106 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,11,23,Television,Variety,United States of America,10029
693090,Shooting Permit,02/01/2023 07:00:00 AM,02/01/2023 09:00:00 PM,01/26/2023 01:51:45 PM,"Mayor's Office of Film, Theatre & Broadcasting",COLGATE AVENUE between STORY AVENUE and LAFAYETTE AVENUE,Bronx,9,43,Television,Episodic series,United States of America,10473
693079,Shooting Permit,02/03/2023 07:00:00 AM,02/03/2023 02:00:00 PM,01/26/2023 01:31:13 PM,"Mayor's Office of Film, Theatre & Broadcasting","HUMBOLDT STREET between NORMAN AVENUE and MESEROLE AVENUE,  HUMBOLDT STREET between MESEROLE AVENUE and CALYER STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
693075,Theater Load in and Load Outs,02/02/2023 12:01:00 AM,02/02/2023 11:59:00 PM,01/26/2023 01:22:55 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   34 STREET between 8 AVENUE and 9 AVENUE,Manhattan,4,14,Theater,Theater,United States of America,10001
693073,Shooting Permit,01/31/2023 06:00:00 AM,01/31/2023 10:00:00 PM,01/26/2023 01:17:32 PM,"Mayor's Office of Film, Theatre & Broadcasting","77 STREET between 3 AVENUE and RIDGE BOULEVARD,  RIDGE BOULEVARD between 76 STREET and 77 STREET,  76 STREET between RIDGE BOULEVARD and COLONIAL ROAD,  76 STREET between RIDGE BOULEVARD and 3 AVENUE,  3 AVENUE between 77 STREET and 78 STREET,  77 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between 74 STREET and 77 STREET,  76 STREET between 3 AVENUE and RIDGE BOULEVARD,  BAY RIDGE PARKWAY between 3 AVENUE and RIDGE BOULEVARD",Brooklyn,10,68,Television,Episodic series,United States of America,11209
693064,Shooting Permit,02/01/2023 10:00:00 AM,02/02/2023 01:00:00 AM,01/26/2023 01:02:42 PM,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST   48 STREET and EAST   53 STREET,  EAST   51 STREET between 5 AVENUE and MADISON AVENUE,  EAST   51 STREET between MADISON AVENUE and PARK AVENUE,  EAST   50 STREET between PARK AVENUE and MADISON AVENUE",Manhattan,5,18,Television,Episodic series,United States of America,"10017, 10022, 10152, 10171"
