EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
728964,Theater Load in and Load Outs,07/08/2023 07:00:00 AM,07/10/2023 01:00:00 PM,07/06/2023 05:17:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","ATLANTIC AVENUE between FORT GREENE PLACE and 6 AVENUE,  FLATBUSH AVENUE between DEAN STREET and ATLANTIC AVENUE,  DEAN STREET between 6 AVENUE and FLATBUSH AVENUE",Brooklyn,"2, 6",78,Theater,Theater,United States of America,11217
728864,Shooting Permit,07/07/2023 03:00:00 PM,07/07/2023 11:59:00 PM,07/06/2023 12:28:41 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728811,Shooting Permit,07/08/2023 08:00:00 AM,07/09/2023 11:00:00 PM,07/06/2023 09:54:57 AM,"Mayor's Office of Film, Theatre & Broadcasting","POINT CRESCENT between BOULEVARD and 141 STREET,  BOULEVARD between POINT CRESCENT and MALBA DRIVE",Queens,7,109,Television,Episodic series,United States of America,11357
728533,Shooting Permit,07/06/2023 12:00:00 AM,07/06/2023 01:00:00 PM,07/05/2023 08:24:16 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728455,Shooting Permit,07/08/2023 02:00:00 AM,07/08/2023 11:59:00 PM,07/04/2023 01:21:33 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE,  WEST   48 STREET between 6 AVENUE and 7 AVENUE",Manhattan,5,18,Television,News,United States of America,"10036, 10105"
728309,Shooting Permit,07/06/2023 07:30:00 AM,07/06/2023 10:00:00 PM,07/03/2023 02:46:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","113 STREET between 84 AVENUE and 85 AVENUE,  84 AVENUE between 112 STREET and BESSEMER STREET,  85 AVENUE between 112 STREET and 113 STREET,  85 AVENUE between 112 STREET and 113 STREET,  85 AVENUE between 113 STREET and 114 STREET",Queens,"12, 9","102, 103",Television,Episodic series,United States of America,"11418, 11433"
728295,Shooting Permit,07/06/2023 09:00:00 AM,07/06/2023 10:00:00 PM,07/03/2023 01:30:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",IRWIN PLACE between ROE ROAD and 120 AVENUE,Queens,12,113,Commercial,Commercial,United States of America,11434
728292,Shooting Permit,07/07/2023 06:00:00 AM,07/07/2023 08:00:00 PM,07/03/2023 01:25:10 PM,"Mayor's Office of Film, Theatre & Broadcasting",METROPOLITAN AVENUE between WYTHE AVENUE and BERRY STREET,Brooklyn,1,"90, 94",Commercial,Commercial,United States of America,11249
728225,Shooting Permit,07/06/2023 07:00:00 AM,07/06/2023 11:00:00 PM,07/03/2023 10:00:50 AM,"Mayor's Office of Film, Theatre & Broadcasting",MONROE STREET between PIKE STREET and MARKET STREET,Manhattan,3,5,Music Video,Signed Artist,United States of America,10002
728010,Shooting Permit,07/07/2023 01:00:00 PM,07/08/2023 04:00:00 AM,06/30/2023 04:18:24 PM,"Mayor's Office of Film, Theatre & Broadcasting","6 AVENUE between WHITE STREET and FRANKLIN STREET,  CHURCH STREET between WHITE STREET and FRANKLIN STREET,  CHURCH STREET between WALKER STREET and WHITE STREET,  BEACH ST between WEST BROADWAY and ST JOHN'S LANE,  WALKER STREET between BROADWAY and CHURCH STREET,  SOUTH    6 STREET between WYTHE AVENUE and BERRY STREET,  WYTHE AVENUE between SOUTH    6 STREET and BROADWAY,  SOUTH    6 STREET between BERRY STREET and BEDFORD AVENUE,  SOUTH    5 STREET between BERRY STREET and KENT AVENUE",Manhattan,1,"1, 90",Film,Feature,United States of America,"10013, 11249"
727977,Shooting Permit,07/07/2023 06:00:00 AM,07/07/2023 08:00:00 PM,06/30/2023 02:00:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","FREDERICK DOUGLASS BOULEVARD between WEST  132 STREET and WEST  134 STREET,  EDGECOMB AVENUE between WEST  137 STREET and WEST  138 STREET",Manhattan,10,32,Commercial,Commercial,United States of America,"10027, 10030"
727940,Shooting Permit,07/07/2023 07:00:00 AM,07/07/2023 07:00:00 PM,06/30/2023 12:41:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",PARK AVENUE between EAST  106 STREET and EAST  108 STREET,Manhattan,11,23,Commercial,Promo,United States of America,10029
727925,Shooting Permit,07/06/2023 07:00:00 AM,07/06/2023 09:00:00 PM,06/30/2023 11:59:32 AM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between 43 AVE and QUEEN SPLAZA S,  43 AVE between 22 ST and 21 ST,  21 ST between 43 AVENUE and QUEENS PLAZA S,  QUEENS PLAZA S between 21 ST and 22 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727921,Shooting Permit,07/05/2023 07:00:00 AM,07/05/2023 09:00:00 PM,06/30/2023 11:54:44 AM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between 43 AVE and QUEENS PLAZA S,  43 AVE between 22 ST and 21 ST,  21 ST between QUEENS PLAZA S and 43 AVE,  QUEENS PLAZA S between 21 ST and 22 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727798,Shooting Permit,06/30/2023 07:00:00 AM,06/30/2023 09:00:00 PM,06/29/2023 04:02:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between QUEENS PLAZA S and 43 AVE,  43 AVE between 21 STREET and 22 ST,  21 ST between 43 AVENUE and QUEENS PLAZA S,  QUEENS PLAZA S between 22 ST and 21 ST",Queens,2,108,Television,Episodic series,United States of America,11101
727707,Shooting Permit,07/04/2023 12:00:00 AM,07/04/2023 01:00:00 PM,06/29/2023 11:25:38 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727684,Shooting Permit,07/07/2023 12:00:00 AM,07/07/2023 03:00:00 PM,06/29/2023 10:20:45 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727681,Shooting Permit,07/06/2023 09:00:00 AM,07/06/2023 11:59:00 PM,06/29/2023 10:15:51 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727679,Shooting Permit,07/02/2023 12:00:00 AM,07/02/2023 01:00:00 PM,06/29/2023 10:02:09 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   47 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727666,Shooting Permit,07/03/2023 07:00:00 AM,07/03/2023 07:00:00 PM,06/29/2023 09:33:12 AM,"Mayor's Office of Film, Theatre & Broadcasting","JOHNSON AVENUE between STEWART AVENUE and GARDNER AVENUE,  GARDNER AVENUE between JOHNSON AVENUE and FLUSHING AVENUE,  INGRAHAM STREET between STEWART AVENUE and GARDNER AVENUE,  STEWART AVENUE between FLUSHING AVENUE and JOHNSON AVENUE,  SCOTT AVENUE between JOHNSON AVENUE and RANDOLPH STREET",Brooklyn,1,90,Television,Episodic series,United States of America,11237
727617,Shooting Permit,07/07/2023 07:00:00 AM,07/07/2023 07:00:00 PM,06/28/2023 06:30:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
727616,Shooting Permit,07/06/2023 07:00:00 AM,07/06/2023 07:00:00 PM,06/28/2023 06:25:20 PM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
727615,Shooting Permit,07/05/2023 07:00:00 AM,07/05/2023 07:00:00 PM,06/28/2023 06:18:26 PM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
727584,Theater Load in and Load Outs,07/07/2023 12:01:00 AM,07/08/2023 06:00:00 AM,06/28/2023 03:58:23 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   35 STREET between 8 AVENUE and 9 AVENUE,Manhattan,4,14,Theater,Theater,United States of America,10001
727579,Shooting Permit,06/30/2023 02:00:00 PM,07/01/2023 04:00:00 AM,06/28/2023 03:51:39 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   15 STREET between 6 AVENUE and 8 AVENUE,  MOTT STREET between CANAL STREET and BAYARD STREET,  BAYARD STREET between MOTT STREET and MULBERRY STREET,  BAYARD STREET between MOTT STREET and ELIZABETH STREET,  BOWERY between CANAL STREET and WORTH STREET,  BOWERY between BAYARD STREET and PELL STREET,  CANAL STREET between ELIZABETH STREET and MULBERRY STREET",Manhattan,"2, 3, 4","10, 13, 5",Film,Feature,United States of America,"10002, 10011, 10013"
727469,Shooting Permit,07/02/2023 01:00:00 AM,07/02/2023 01:00:00 PM,06/28/2023 08:03:32 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727468,Shooting Permit,07/01/2023 01:00:00 AM,07/01/2023 01:00:00 PM,06/28/2023 07:56:11 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727419,Shooting Permit,07/05/2023 07:00:00 AM,07/05/2023 10:00:00 PM,06/27/2023 05:55:00 PM,"Mayor's Office of Film, Theatre & Broadcasting","CLAREMONT AVENUE between TIEMANN PLACE and WEST  122 STREET,  RIVERSIDE DRIVE between WEST  122 STREET and TIEMANN PLACE,  RIVERSIDE DRIVE between WEST  122 STREET and ST CLAIR PLACE",Manhattan,9,26,Film,Feature,United States of America,10027
727403,Shooting Permit,06/30/2023 12:00:00 AM,06/30/2023 03:00:00 PM,06/27/2023 04:49:50 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727351,Shooting Permit,06/29/2023 10:00:00 AM,06/29/2023 09:00:00 PM,06/27/2023 02:01:54 PM,"Mayor's Office of Film, Theatre & Broadcasting","10 STREET between 43 AVENUE and QUEENS PLAZA SOUTH,  43 AVENUE between 10 STREET and 11 STREET,  FAIRVIEW AVENUE between MADISON STREET and PUTNAM AVENUE,  MADISON STREET between FAIRVIEW AVENUE and WOODWARD AVENUE",Queens,"2, 5","104, 108",Television,Episodic series,United States of America,"11101, 11385"
727308,Shooting Permit,06/30/2023 10:00:00 AM,07/01/2023 03:00:00 AM,06/27/2023 11:38:59 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   24 STREET between 10 AVENUE and 11 AVENUE,  WEST   25 STREET between 10 AVENUE and 11 AVENUE,  10 AVENUE between WEST   24 STREET and WEST   25 STREET",Manhattan,4,10,Film,Feature,United States of America,"10001, 10011"
727270,Shooting Permit,06/29/2023 08:00:00 AM,06/30/2023 01:00:00 AM,06/27/2023 09:28:46 AM,"Mayor's Office of Film, Theatre & Broadcasting","9 STREET between 43 ROAD and QUEENS PLAZA SOUTH,  43 AVENUE between 9 STREET and 10 STREET,  43 AVENUE between 9 STREET and VERNON BOULEVARD,  VERNON BOULEVARD between 43 AVENUE and QUEENS PLAZA SOUTH,  QUEENS PLAZA SOUTH between VERNON BOULEVARD and 9 STREET,  48 AVENUE between 5 STREET and VERNON BOULEVARD,  VERNON BOULEVARD between 48 AVENUE and 47 ROAD",Queens,2,108,Television,Episodic series,United States of America,11101
727202,Theater Load in and Load Outs,07/01/2023 12:01:00 AM,07/15/2023 11:59:00 PM,06/26/2023 05:26:52 PM,"Mayor's Office of Film, Theatre & Broadcasting",AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,Manhattan,7,20,Theater,Theater,United States of America,10023
727159,Theater Load in and Load Outs,07/08/2023 12:01:00 AM,07/08/2023 11:59:00 PM,06/26/2023 03:22:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
727157,Shooting Permit,06/29/2023 07:00:00 AM,06/29/2023 09:00:00 PM,06/26/2023 03:16:15 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   75 STREET between LEXINGTON AVENUE and 3 AVENUE,Manhattan,8,19,Commercial,Commercial,United States of America,10021
727145,Shooting Permit,07/06/2023 06:00:00 AM,07/06/2023 09:00:00 PM,06/26/2023 02:34:21 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   36 STREET between 6 AVENUE and 5 AVENUE,Manhattan,5,14,Still Photography,Not Applicable,United States of America,10018
727111,Shooting Permit,06/29/2023 06:00:00 AM,06/29/2023 08:00:00 PM,06/26/2023 01:07:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   79 STREET and EAST   76 STREET,  EAST   78 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   78 STREET and EAST   79 STREET,  EAST   79 STREET between MADISON AVENUE and 5 AVENUE,  EAST   78 STREET between MADISON AVENUE and PARK AVENUE,  EAST   78 STREET between 5 AVENUE and MADISON AVENUE",Manhattan,"64, 8","19, 22",Commercial,Commercial,United States of America,"10021, 10023, 10024, 10025, 10075"
727085,Shooting Permit,06/29/2023 02:00:00 AM,06/29/2023 12:00:00 PM,06/26/2023 12:27:59 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
727056,Shooting Permit,06/28/2023 08:00:00 AM,06/28/2023 11:59:00 PM,06/26/2023 11:38:22 AM,"Mayor's Office of Film, Theatre & Broadcasting","JOHNSON AVENUE between STEWART AVENUE and GARDNER AVENUE,  GARDNER AVENUE between JOHNSON AVENUE and FLUSHING AVENUE,  INGRAHAM STREET between STEWART AVENUE and GARDNER AVENUE,  STEWART AVENUE between FLUSHING AVENUE and JOHNSON AVENUE,  SCOTT AVENUE between JOHNSON AVENUE and RANDOLPH STREET",Brooklyn,1,90,Television,Episodic series,United States of America,11237
727037,Theater Load in and Load Outs,06/29/2023 12:01:00 AM,06/30/2023 06:00:00 AM,06/26/2023 10:48:36 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET,  WEST   33 STREET between 8 AVENUE and 9 AVENUE",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
727010,Shooting Permit,06/28/2023 06:00:00 AM,06/28/2023 11:00:00 PM,06/26/2023 09:10:18 AM,"Mayor's Office of Film, Theatre & Broadcasting","GREENE STREET between BROOME STREET and SPRING STREET,  BROOME STREET between MERCER STREET and WOOSTER STREET,  MERCER STREET between BROOME STREET and GRAND STREET,  SPRING STREET between MERCER STREET and WOOSTER STREET,  MERCER STREET between SPRING STREET and BROOME STREET,  GREENE STREET between BROOME STREET and GRAND STREET",Manhattan,2,1,Commercial,Commercial,United States of America,"10012, 10013"
726888,Shooting Permit,06/30/2023 07:00:00 AM,06/30/2023 11:00:00 PM,06/24/2023 01:30:55 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONROE STREET between MARKET STREET and PIKE STREET,  BRIDGE STREET between STATE STREET and WHITEHALL STREET",Manhattan,"1, 3","1, 5",Commercial,Commercial,United States of America,"10002, 10004"
726786,Shooting Permit,06/30/2023 06:00:00 AM,07/05/2023 11:59:00 PM,06/23/2023 03:56:14 PM,"Mayor's Office of Film, Theatre & Broadcasting","54 AVENUE between CENTER BOULEVARD and 2 STREET,  55 AVENUE between CENTER BOULEVARD and 2 STREET,  CENTER BOULEVARD between 54 AVENUE and 55 AVENUE,  2 STREET between 54 AVENUE and 55 AVENUE",Queens,2,108,Television,Not Applicable,United States of America,11101
726762,Shooting Permit,06/28/2023 07:00:00 AM,06/28/2023 08:00:00 PM,06/23/2023 02:38:58 PM,"Mayor's Office of Film, Theatre & Broadcasting",LAFAYETTE AVENUE between THROOP AVENUE and TOMPKINS AVENUE,Brooklyn,3,79,Commercial,Commercial,United States of America,11221
726751,Shooting Permit,06/29/2023 08:00:00 AM,06/29/2023 11:30:00 PM,06/23/2023 02:10:35 PM,"Mayor's Office of Film, Theatre & Broadcasting","10 AVENUE between WEST   20 STREET and WEST   21 STREET,  West 14th Street between WASHINGTON STREET and 9th Avenue",Manhattan,"2, 4","10, 6",Still Photography,Not Applicable,United States of America,"10011, 10014"
726680,Shooting Permit,07/02/2023 09:30:00 AM,07/03/2023 01:00:00 AM,06/23/2023 10:24:14 AM,"Mayor's Office of Film, Theatre & Broadcasting",EAST BROADWAY between PIKE STREET and RUTGERS STREET,Manhattan,3,7,Film,Short,United States of America,10002
726676,Shooting Permit,07/01/2023 01:15:00 PM,07/02/2023 01:00:00 AM,06/23/2023 10:10:52 AM,"Mayor's Office of Film, Theatre & Broadcasting",6 AVENUE between WALKER STREET and LISPENARD STREET,Manhattan,1,"1, 5",Film,Short,United States of America,"10007, 10013, 10278, 10279"
726655,Shooting Permit,06/30/2023 07:00:00 AM,06/30/2023 07:00:00 PM,06/23/2023 08:58:23 AM,"Mayor's Office of Film, Theatre & Broadcasting",VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
726654,Shooting Permit,06/29/2023 07:00:00 AM,06/29/2023 07:00:00 PM,06/23/2023 08:55:06 AM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
726653,Shooting Permit,06/28/2023 07:00:00 AM,06/28/2023 07:00:00 PM,06/23/2023 08:50:43 AM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
726651,Shooting Permit,06/27/2023 07:00:00 AM,06/27/2023 07:00:00 PM,06/23/2023 08:45:54 AM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
726650,Shooting Permit,06/27/2023 06:00:00 AM,06/27/2023 09:00:00 PM,06/23/2023 08:43:28 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST 10 STREET between SURF AVE and DEAD END,Brooklyn,13,60,Still Photography,Not Applicable,United States of America,11224
726470,Shooting Permit,06/26/2023 07:00:00 AM,06/26/2023 07:00:00 PM,06/22/2023 12:55:00 PM,"Mayor's Office of Film, Theatre & Broadcasting","VAN BRUNT STREET between DELAVAN STREET and SEABRING STREET,  COMMERCE STREET between VAN BRUNT STREET and RICHARDS STREET",Brooklyn,6,76,WEB,Not Applicable,United States of America,11231
726439,Shooting Permit,06/27/2023 11:00:00 AM,06/27/2023 09:00:00 PM,06/22/2023 11:38:15 AM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   67 STREET between MADISON AVENUE and 5 AVENUE,Manhattan,"2, 64, 8","108, 19, 22",WEB,Not Applicable,United States of America,"10023, 10024, 10065, 11101, 11109"
726407,Shooting Permit,06/24/2023 06:00:00 AM,06/24/2023 10:00:00 PM,06/22/2023 10:36:29 AM,"Mayor's Office of Film, Theatre & Broadcasting","SEMINOLE AVENUE between MORRIS PARK AVENUE and PINCHOT PLACE,  MORRIS PARK AVENUE between SEMINOLE AVENUE and HERING AVENUE",Bronx,11,49,Commercial,Commercial,United States of America,10461
726380,Shooting Permit,06/25/2023 06:00:00 AM,06/25/2023 10:00:00 PM,06/22/2023 07:22:41 AM,"Mayor's Office of Film, Theatre & Broadcasting","ADAM CLAYTON POWELL BOULEVARD between WEST  130 STREET and WEST  129 STREET,  ADAM CLAYTON POWELL BOULEVARD between WEST  129 STREET and WEST  128 STREET,  WEST  129 STREET between ADAM CLAYTON POWELL BOULEVARD and FREDERICK DOUGLAS BOULEVARD,  ST NICHOLAS TERRACE between WEST  127 STREET and WEST  128 STREET,  ST NICHOLAS TERRACE between WEST  127 STREET and WEST  128 STREET,  WEST  127 STREET between ST NICHLAS AVENUE and MORNINGSIDE AVENUE",Manhattan,"10, 9","26, 28, 32",Commercial,Commercial,United States of America,"10026, 10027"
726377,Shooting Permit,06/25/2023 12:00:00 AM,06/25/2023 01:00:00 PM,06/22/2023 06:53:36 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
726376,Shooting Permit,06/24/2023 03:00:00 AM,06/24/2023 01:00:00 PM,06/22/2023 06:50:34 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
726318,Shooting Permit,06/28/2023 08:00:00 AM,06/28/2023 09:00:00 PM,06/21/2023 06:12:55 PM,"Mayor's Office of Film, Theatre & Broadcasting","7 AVENUE SOUTH between WEST   11 STREET and CHARLES STREET,  HUDSON STREET between PERRY STREET and CHARLES STREET,  PERRY STREET between BLEECKER STREET and WEST    4 STREET,  WEST    4 STREET between JANE STREET and WEST   12 STREET",Manhattan,2,6,Commercial,Commercial,United States of America,"10012, 10014"
726283,Shooting Permit,06/27/2023 06:00:00 AM,06/27/2023 11:59:00 PM,06/21/2023 04:08:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","HICKS STREET between HUNTINGTON STREET and WEST    9 STREET,  HICKS STREET between WEST    9 STREET and MILL STREET,  WEST    9 STREET between COLUMBIA STREET and HICKS STREET",Brooklyn,6,76,Commercial,Commercial,United States of America,11231
726276,Shooting Permit,06/26/2023 06:00:00 AM,06/26/2023 11:59:00 PM,06/21/2023 03:56:04 PM,"Mayor's Office of Film, Theatre & Broadcasting","HICKS STREET between HUNTINGTON STREET and WEST    9 STREET,  WEST    9 STREET between HICKS STREET and COLUMBIA STREET,  HICKS STREET between WEST    9 STREET and MILL STREET",Brooklyn,6,76,Commercial,Commercial,United States of America,11231
726264,Shooting Permit,06/24/2023 07:00:00 AM,06/24/2023 11:00:00 PM,06/21/2023 03:30:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","11 STREET between 44 DRIVE and 44 ROAD,  44 DRIVE between 11 STREET and 21 STREET",Queens,2,108,Commercial,Commercial,United States of America,11101
726252,Shooting Permit,06/25/2023 06:00:00 AM,06/25/2023 08:00:00 PM,06/21/2023 02:39:29 PM,"Mayor's Office of Film, Theatre & Broadcasting",BEDFORD AVENUE between CAMPUS ROAD and AVENUE I,Brooklyn,14,70,Commercial,Commercial,United States of America,11210
726236,Shooting Permit,06/28/2023 11:00:00 AM,06/29/2023 02:27:00 AM,06/21/2023 01:58:28 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   38 STREET between 8 AVENUE and 7 AVENUE,Manhattan,5,14,WEB,Not Applicable,United States of America,"10016, 10018"
726202,Shooting Permit,06/24/2023 11:00:00 AM,06/25/2023 04:00:00 AM,06/21/2023 12:18:54 PM,"Mayor's Office of Film, Theatre & Broadcasting","PAUL AVENUE between WEST MOSHOLU PARKWAY SOUTH and WEST  205 STREET,  JEROME AVENUE between EAST  208 STREET and MOSHOLU PARKWAY,  EAST   40 STREET between 2 AVENUE and 1 AVENUE",Bronx,"6, 7","17, 52",Film,Short,United States of America,"10016, 10467, 10468"
726167,Shooting Permit,06/23/2023 09:00:00 AM,06/23/2023 11:00:00 PM,06/21/2023 10:44:26 AM,"Mayor's Office of Film, Theatre & Broadcasting",THIRD AVENUE between 89 STREET and 90 STREET,Brooklyn,10,68,Film,Feature,United States of America,11209
726132,Shooting Permit,06/22/2023 05:00:00 AM,06/22/2023 12:00:00 PM,06/20/2023 11:10:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
726094,Shooting Permit,06/23/2023 09:00:00 AM,06/23/2023 11:00:00 PM,06/20/2023 06:31:56 PM,"Mayor's Office of Film, Theatre & Broadcasting",RIVERSIDE DRIVE between WEST  114 STREET and WEST  113 STREET,Manhattan,"7, 9","24, 26",Film,Feature,United States of America,"10024, 10025"
726087,Shooting Permit,06/24/2023 06:00:00 AM,06/25/2023 06:00:00 PM,06/20/2023 05:44:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   24 STREET between 5 AVENUE and 6 AVENUE,  BROADWAY between 5 AVENUE and WEST   25 STREET",Manhattan,5,13,Television,Special/Awards Show,United States of America,10010
726069,Shooting Permit,06/23/2023 07:00:00 AM,06/23/2023 11:00:00 PM,06/20/2023 04:58:30 PM,"Mayor's Office of Film, Theatre & Broadcasting","2 AVENUE between 36 STREET and 34 STREET,  SACKETT STREET between COURT STREET and CLINTON STREET,  COURT STREET between UNION STREET and DEGRAW STREET",Brooklyn,"6, 7","72, 76",WEB,Not Applicable,United States of America,"11231, 11232"
726032,Theater Load in and Load Outs,06/24/2023 12:01:00 AM,06/25/2023 06:00:00 AM,06/20/2023 03:39:49 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  176 STREET between BROADWAY and WADSWORTH AVENUE,  WADSWORTH AVENUE between WEST  175 STREET and WEST  176 STREET",Manhattan,12,33,Theater,Theater,United States of America,10033
725999,Shooting Permit,06/22/2023 06:00:00 AM,06/22/2023 06:00:00 PM,06/20/2023 02:18:21 PM,"Mayor's Office of Film, Theatre & Broadcasting",MADISON AVENUE between EAST   24 STREET and EAST   25 STREET,Manhattan,5,13,Still Photography,Not Applicable,United States of America,"10001, 10010"
725998,Shooting Permit,06/29/2023 07:00:00 AM,06/29/2023 09:00:00 PM,06/20/2023 02:17:28 PM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between 43 AVE and QUEENS PLAZA S,  43 AVE between 21 STREET and 22 ST,  22 ST between 43 AVE and QUEENS PLAZA S,  QUEENS PLAZA S between 22 ST and 21 ST",Queens,2,108,Television,Episodic series,United States of America,11101
725993,Shooting Permit,06/28/2023 07:00:00 AM,06/28/2023 09:00:00 PM,06/20/2023 02:10:14 PM,"Mayor's Office of Film, Theatre & Broadcasting","22 ST between QUEENS PLAZA S and 43 AVE,  43 AVE between 21 STREET and 22 ST,  21 ST between QUEENS PLAZA S and 43 AVE,  QUEENS PLAZA S between 22 ST and 21 ST",Queens,2,108,Television,Episodic series,United States of America,11101
725992,Shooting Permit,06/22/2023 01:00:00 PM,06/23/2023 01:00:00 AM,06/20/2023 02:07:14 PM,"Mayor's Office of Film, Theatre & Broadcasting",96 STREET between FOURTH AVENUE and THIRD AVENUE,Brooklyn,10,68,Film,Feature,United States of America,11209
